Timestamp,Source IP,Destination IP,Alert,Category
2026-03-13T19:08:52.730599+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746125+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.792221+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730611+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746129+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.792245+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730618+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746138+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.792249+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.839013+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730621+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.839021+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730622+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746139+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.792258+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730624+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746153+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.839030+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746167+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.792263+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.839031+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730624+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.792268+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
